ticker,entry_date,exit_date
BHI,2014-03-24,2017-07-04
BIIB,2014-01-01,2015-03-23
BIIB,2015-03-24,2024-12-31
BIO,2020-06-22,2024-09-20
BIVV,2017-02-02,2017-02-02
BK,2014-01-01,2024-12-31
BKNG,2018-02-27,2024-12-31
BKR,2019-10-18,2021-12-06
BKR,2021-12-07,2024-12-31
BLDR,2023-12-18,2024-12-31
BLK,2014-01-01,2014-01-15
BLK,2014-01-16,2019-11-19
BLK,2019-11-20,2022-08-09
BLK,2022-08-10,2024-10-01
BLK,2024-10-02,2024-12-31
BLL,2014-01-01,2022-05-09
BMS,2014-01-01,2014-01-06
BMS,2014-01-07,2014-12-04
BMS,2019-06-07,2019-06-10
BMY,2014-01-01,2024-12-31
BR,2018-06-18,2023-08-10
BR,2023-08-11,2024-12-31
BRCM,2014-01-01,2016-01-29
BRK,2014-01-01,2016-12-18
BRK,2016-12-19,2021-04-04
BRK,2021-04-05,2024-12-31
BRO,2021-09-20,2024-12-31
BSX,2014-01-01,2024-12-31
BTU,2014-01-01,2014-09-19
BWA,2014-01-01,2024-12-31
BX,2023-09-18,2024-12-31
BXLT,2015-07-01,2016-06-02
BXP,2014-01-01,2024-06-30
BXP,2024-07-01,2024-12-31
C,2014-01-01,2014-07-30
C,2014-07-31,2015-02-04
C,2015-02-05,2019-06-23
C,2019-06-24,2019-09-29
C,2019-09-30,2024-12-31
CA,2014-01-01,2018-11-02
CAG,2014-01-01,2014-01-07
CAG,2014-01-08,2016-11-09
CAG,2016-11-10,2023-07-31
CAG,2023-08-01,2024-12-31
CAH,2014-01-01,2016-12-21
CAH,2016-12-22,2021-03-31
CAH,2021-04-01,2024-12-31
CAM,2014-01-01,2016-04-01
CARR,2020-04-03,2024-12-31
CAT,2014-01-01,2014-01-26
CAT,2014-01-27,2016-12-07
CAT,2016-12-08,2024-12-31
CB,2014-01-01,2016-01-14
CB,2016-01-15,2024-06-25
CB,2024-06-26,2024-12-31
CBG,2014-01-01,2017-12-25
CBG,2017-12-26,2018-03-19
CBOE,2017-03-01,2017-10-17
CBOE,2017-10-18,2018-09-16
CBOE,2018-09-17,2021-03-28
CBOE,2021-03-29,2023-08-10
CBOE,2023-08-11,2024-06-20
CBOE,2024-06-21,2024-12-31
CBRE,2018-03-20,2024-12-31
CBS,2014-01-01,2014-01-07
CBS,2014-01-08,2019-12-04
CCE,2014-01-01,2014-02-03
CCE,2014-02-04,2016-05-27
CCI,2014-01-01,2014-01-01
CCI,2014-01-02,2014-12-15
CCI,2014-12-16,2016-09-25
CCI,2016-09-26,2016-12-18
CCI,2016-12-19,2021-03-31
CCI,2021-04-01,2022-08-01
CCI,2022-08-02,2024-12-31
CCL,2014-01-01,2021-11-07
CCL,2021-11-08,2024-06-25
CCL,2024-06-26,2024-12-31
CDAY,2021-09-20,2024-01-31
CDNS,2017-09-18,2024-12-31
CDW,2019-09-23,2024-12-31
CE,2018-12-24,2024-12-31
CEG,2022-02-02,2024-12-31
CELG,2014-01-01,2019-11-20
CERN,2014-01-01,2022-06-07
CF,2014-01-01,2024-12-31
CFG,2016-02-01,2018-11-01
CFG,2018-11-02,2019-10-10
CFG,2019-10-11,2024-06-24
CFG,2024-06-25,2024-12-31
CFN,2014-01-01,2015-03-16
CHD,2015-12-29,2024-12-31
CHK,2014-01-01,2016-12-26
CHK,2016-12-27,2018-03-16
CHRW,2014-01-01,2024-12-31
CHTR,2016-09-08,2024-12-31
CI,2014-01-01,2018-12-20
CI,2018-12-21,2023-02-22
CI,2023-02-23,2024-12-31
CINF,2014-01-01,2024-12-31
CL,2014-01-01,2024-12-31
CLF,2014-01-01,2014-01-06
CLF,2014-01-07,2014-04-01
CLX,2014-01-01,2024-12-31
CMA,2014-01-01,2024-06-21
CMCSA,2014-01-01,2024-12-31
CMCSK,2015-09-21,2015-12-11
CME,2014-01-01,2024-12-31
CMG,2014-01-01,2024-12-31
CMI,2014-01-01,2024-12-31
CMS,2014-01-01,2016-12-18
CMS,2016-12-19,2021-03-31
CMS,2021-04-01,2024-12-31
CNC,2016-03-30,2024-12-31
CNP,2014-01-01,2016-12-20
CNP,2016-12-21,2021-03-31
CNP,2021-04-01,2024-12-31
CNX,2014-01-01,2016-03-03
COF,2014-01-01,2014-01-06
COF,2014-01-07,2020-08-26
COF,2020-08-27,2022-11-01
COF,2022-11-02,2024-12-31
COG,2014-01-01,2021-10-03
COH,2014-01-01,2015-06-01
COH,2015-06-02,2017-10-30
COL,2014-01-01,2018-11-26
COO,2016-09-23,2023-09-25
COO,2023-09-26,2024-02-19
COO,2024-02-20,2024-12-31
COP,2014-01-01,2014-01-30
COP,2014-01-31,2024-12-31
COR,2023-08-30,2024-12-31
COST,2014-01-01,2024-12-31
COTY,2016-10-03,2018-04-03
COTY,2018-04-04,2018-05-14
COTY,2018-05-15,2020-09-18
COV,2014-01-01,2015-01-26
CPAY,2024-03-25,2024-12-31
CPB,2014-01-01,2019-10-23
CPB,2019-10-24,2024-08-18
CPB,2024-08-19,2024-11-21
CPB,2024-11-22,2024-12-31
CPGX,2015-07-02,2016-06-30
CPRI,2019-01-02,2020-05-11
CPRT,2018-07-02,2024-12-31
CPT,2022-04-04,2024-12-31
CRL,2021-05-14,2024-12-31
CRM,2014-01-01,2022-04-03
CRM,2022-04-04,2024-12-31
CRWD,2024-06-24,2024-12-31
CSC,2014-01-01,2014-01-09
CSC,2014-01-10,2015-06-30
CSC,2015-07-01,2015-11-30
CSCO,2014-01-01,2024-12-31
CSGP,2022-09-19,2024-12-31
CSRA,2015-11-30,2018-04-03
CSX,2014-01-01,2015-12-21
CSX,2015-12-22,2024-12-31
CTAS,2014-01-01,2024-12-31
CTL,2014-01-01,2020-09-17
CTLT,2020-09-21,2024-12-17
CTRA,2021-10-04,2024-12-31
CTSH,2014-01-01,2024-12-31
CTVA,2019-06-03,2024-12-31
CTXS,2014-01-01,2022-09-29
CVC,2014-01-01,2016-06-21
CVET,2019-02-08,2019-02-08
CVS,2014-01-01,2014-09-03
CVS,2014-09-04,2024-12-31
CVX,2014-01-01,2016-12-18
CVX,2016-12-19,2021-03-31
CVX,2021-04-01,2023-07-24
CVX,2023-07-25,2024-12-31
CXO,2016-02-22,2016-12-18
CXO,2016-12-19,2020-11-17
CXO,2020-11-18,2021-01-15
CZR,2021-03-22,2024-12-31
D,2014-01-01,2014-01-16
D,2014-01-17,2017-05-10
D,2017-05-11,2022-07-12
D,2022-07-13,2024-12-31
DAL,2014-01-01,2024-12-31
DAY,2024-02-01,2024-12-31
DD,2014-01-01,2014-01-28
DD,2014-01-29,2017-08-31
DD,2019-06-03,2020-03-25
