ticker,permno,start_month,end_month,duration_months,event_observed,sector,roll_vol_20,zscore_20,momentum_21,momentum_63,rsi_14,bb_width
A,87432,2015-02-01,2015-03-01,2,1,Manufacturing,0.38940917474479625,0.32186270044304194,2.946429835202424,-0.6455986798603712,3.544269277373445,-0.870520147561093
AA,24643,2015-02-01,2015-03-01,2,1,Manufacturing,0.1577840318950219,-0.14350718565583206,0.4867559731385538,-1.31495396257315,0.2119237420455068,0.07619943463250134
AAL,21020,2015-02-01,2015-03-01,2,1,Transportation & Comm,2.4899053302974905,0.240389823780304,-1.9868627612478496,-4.102562931111285,-1.1603080488888553,4.720244175006123
AAPL,14593,2015-02-01,2015-02-01,1,1,Manufacturing,0.43350858386118657,-0.25131360444282286,4.450380132941982,1.4277759103371543,2.5203511019964058,8.07602931260082
ABBV,13721,2015-02-01,2015-04-01,3,1,Manufacturing,4.185267240225279,0.2692734905770125,-1.5847532412267633,-3.3798472944612525,-0.40105258144617395,5.555402337439669
ABC,81540,2015-02-01,2015-03-01,2,1,Wholesale,-2.421337590956303,-0.10327131921514761,2.507691647734811,-3.2491714380010372,1.5567578917860825,2.203707486358057
ABMD,75107,2015-02-01,2015-02-01,1,1,Manufacturing,2.027809833239821,-0.2778815340599308,2.1952593596713514,0.0,2.010067814287031,2.38138541545255
ABT,20482,2015-02-01,2015-02-01,1,1,Manufacturing,1.350309247370043,0.07753995143533907,2.1717549727888885,-0.6901205492252033,2.3246746456215326,0.9023687624343106
ACE,79057,2015-02-01,2015-03-01,2,1,Finance,0.3335017036274777,0.26911070158957545,1.7980684671040121,-1.5723165714665637,1.7776857264168293,-1.1729356517674874
ACGL,82276,2015-02-01,2015-05-01,4,1,Finance,5.4639377234958895,0.21345362147654173,0.20808003480803283,-1.4289653921160157,-0.18460546563748728,-0.053876256677157425
ADBE,75510,2015-02-01,2015-02-01,1,1,Services,-0.5475847206178717,0.23167728560747397,3.0934282456985844,-0.8469353943368169,2.8773385270565797,1.6118842417505037
ADI,60871,2015-02-01,2015-03-01,2,1,Manufacturing,3.719772302841478,0.34423209857910986,5.110660585871448,-1.1782999907355096,3.1741941970064422,2.2468371747221423
ADM,10516,2015-02-01,2015-02-01,1,1,Manufacturing,4.315285234578301,0.2503921985788382,2.3312559315302606,-2.9212893719802997,2.0853463112950776,-2.9450502687042044
ADP,44644,2015-02-01,2015-04-01,3,1,Services,2.054188282533947,0.20875628199733418,2.30493540678051,-3.2851756288376235,1.1347793664510821,3.6719953326671306
ADS,89002,2015-02-01,2015-02-01,1,1,Services,2.2285664094025623,0.007407597519515657,-2.3529663137369297,-2.6120096568272757,-1.2266015013633875,2.2754610846938292
ADSK,85631,2015-02-01,2015-02-01,1,1,Services,1.5742411798678706,0.5635808085408844,2.5492226345537046,-0.9965039754821445,3.0621817144941663,3.9132361585884525
ADT,13567,2015-02-01,2015-02-01,1,1,Services,-1.1407666609530651,0.18767886945036621,1.3380484653719318,1.0309583358014827,3.258166934629817,0.07669522006488302
AEE,24985,2015-02-01,2015-02-01,1,1,Utilities,1.8040472837071315,0.17084096818820527,-2.4281805397208185,-5.514597850545367,-3.723592700397237,0.47708493743569025
AEP,24109,2015-02-01,2015-03-01,2,1,Utilities,1.328737802342261,-0.0015956358622172962,-4.402466739123282,-6.843075188012513,-4.124057197189006,4.856599579921713
AES,76712,2015-02-01,2015-04-01,3,1,Utilities,0.16402923354154386,0.6000435896534398,-0.3653600696405045,-1.9715045407526377,-0.18591444547636762,-1.0557680828400573
AFL,57904,2015-02-01,2015-02-01,1,1,Finance,-0.3734885105812091,0.3323883996604836,2.715212101663397,0.6967044436764093,3.3945331687141946,-0.12749333816537992
AIG,66800,2015-02-01,2015-02-01,1,1,Finance,3.5569381951648267,0.6138056834852905,1.9127246052074336,-0.5999264210646649,2.588546959375652,-0.2154456426802585
AIV,80711,2015-02-01,2015-02-01,1,1,Finance,1.1461220045681133,-0.13280738158479136,-3.4374171591354137,-6.623261486021498,-3.9247633659722836,-1.0090273865339137
AIZ,90038,2015-02-01,2015-02-01,1,1,Finance,3.307200974367474,0.3157570576119691,0.11396986938140599,-2.6139613247925415,0.16696787033772134,0.23969204450659487
