time_months,n_at_risk,n_events,S
1,4892,2806,0.42641046606704824
2,2078,1362,0.1469248766621783
3,715,483,0.04767352641346206
4,232,143,0.01828855108102639
5,89,59,0.006164680139671818
6,30,18,0.002465872055868727
7,12,5,0.001438425365923424
8,7,3,0.0008219573519562423
9,4,4,0.0
