year,n_obs,n_ml_anom,pct_ml_anom
2015,153027,2601,1.6997000529318356
2016,163724,2145,1.3101316850309057
2017,162619,836,0.5140850700102695
2018,160762,1683,1.0468891902315223
2019,159087,2123,1.3344899331812152
2020,157746,10386,6.584002130006467
2021,155908,705,0.4521897529312159
2022,153256,745,0.48611473612778616
2023,150816,666,0.44159770846594526
2024,152128,800,0.5258729490954985
