year,n_obs,n_ml_anom,pct_ml_anom
2015,153027,17494,11.43196952171839
2016,163724,6217,3.797244142581418
2017,162619,2154,1.3245684698589955
2018,160762,4648,2.891230514673866
2019,159087,2494,1.5676956633791574
2020,157746,14209,9.007518415680904
2021,155908,392,0.25143033070785337
2022,153256,1269,0.828026308921021
2023,150816,766,0.5079036706980691
2024,152128,897,0.5896350441733278
