month,anomaly_rate
2015-02-01,0.8268072289156626
2015-03-01,0.5731523378582202
2015-04-01,0.46444780635400906
2015-05-01,0.2515151515151515
2015-06-01,0.24397590361445784
2015-07-01,0.26998491704374056
2015-08-01,0.6858877086494689
2015-09-01,0.37632776934749623
2015-10-01,0.2950075642965204
2015-11-01,0.15454545454545454
2015-12-01,0.1062215477996965
2016-01-01,0.3759512937595129
2016-02-01,0.3622526636225266
2016-03-01,0.17933130699088146
2016-04-01,0.06838905775075987
2016-05-01,0.0779816513761468
2016-06-01,0.09846153846153846
2016-07-01,0.06511627906976744
2016-08-01,0.05572755417956656
2016-09-01,0.03715170278637771
2016-10-01,0.07596899224806201
2016-11-01,0.2391304347826087
2016-12-01,0.09442724458204334
2017-01-01,0.035493827160493825
2017-02-01,0.05069124423963134
2017-03-01,0.039938556067588324
2017-04-01,0.03538461538461538
2017-05-01,0.04608294930875576
2017-06-01,0.030721966205837174
2017-07-01,0.046153846153846156
2017-08-01,0.046224961479198766
2017-09-01,0.04643962848297214
2017-10-01,0.05727554179566564
2017-11-01,0.0913312693498452
2017-12-01,0.09119010819165378
2018-01-01,0.08682170542635659
2018-02-01,0.2009273570324575
2018-03-01,0.06811145510835913
2018-04-01,0.05287713841368585
2018-05-01,0.08074534161490683
2018-06-01,0.056074766355140186
2018-07-01,0.048286604361370715
2018-08-01,0.06230529595015576
2018-09-01,0.01875
2018-10-01,0.3223787167449139
2018-11-01,0.14756671899529042
2018-12-01,0.334384858044164
2019-01-01,0.19747235387045814
2019-02-01,0.0914826498422713
2019-03-01,0.04409448818897638
2019-04-01,0.06339144215530904
2019-05-01,0.06973058637083994
2019-06-01,0.05055292259083728
2019-07-01,0.0379746835443038
2019-08-01,0.08832807570977919
2019-09-01,0.06782334384858044
2019-10-01,0.0473186119873817
2019-11-01,0.06782334384858044
2019-12-01,0.02365930599369085
2020-01-01,0.046031746031746035
2020-02-01,0.3375796178343949
2020-03-01,0.9028662420382165
2020-04-01,0.6899841017488076
2020-05-01,0.10543130990415335
2020-06-01,0.1936
2020-07-01,0.0272
2020-08-01,0.028938906752411574
2020-09-01,0.008025682182985553
2020-10-01,0.008038585209003215
2020-11-01,0.0840064620355412
2020-12-01,0.03231017770597738
2021-01-01,0.025806451612903226
2021-02-01,0.032362459546925564
2021-03-01,0.025806451612903226
2021-04-01,0.00966183574879227
2021-05-01,0.011272141706924315
2021-06-01,0.0064516129032258064
2021-07-01,0.0016129032258064516
2021-08-01,0.0016129032258064516
2021-09-01,0.0016155088852988692
2021-10-01,0.0
2021-11-01,0.016181229773462782
2021-12-01,0.0048543689320388345
2022-01-01,0.05177993527508091
2022-02-01,0.030744336569579287
2022-03-01,0.04878048780487805
2022-04-01,0.026058631921824105
2022-05-01,0.09313725490196079
2022-06-01,0.03099510603588907
2022-07-01,0.009819967266775777
2022-08-01,0.014729950900163666
2022-09-01,0.04918032786885246
2022-10-01,0.06743421052631579
2022-11-01,0.06105610561056106
2022-12-01,0.0049504950495049506
2023-01-01,0.008278145695364239
2023-02-01,0.023178807947019868
2023-03-01,0.049586776859504134
2023-04-01,0.011589403973509934
2023-05-01,0.024834437086092714
2023-06-01,0.01658374792703151
2023-07-01,0.011608623548922056
2023-08-01,0.018211920529801324
2023-09-01,0.013266998341625208
2023-10-01,0.023140495867768594
2023-11-01,0.026490066225165563
2023-12-01,0.019867549668874173
2024-01-01,0.01652892561983471
2024-02-01,0.024793388429752067
2024-03-01,0.011532125205930808
2024-04-01,0.01487603305785124
2024-05-01,0.03140495867768595
2024-06-01,0.006622516556291391
2024-07-01,0.026446280991735537
2024-08-01,0.029801324503311258
2024-09-01,0.013266998341625208
2024-10-01,0.01990049751243781
2024-11-01,0.04809286898839138
2024-12-01,0.014950166112956811
