event_type,horizon,anomaly_rate
High,-3,0.09879729472986848
High,-2,0.07386777200711316
High,-1,0.04541029349144083
High,0,0.03180084174585209
High,1,0.06236658855598188
High,2,0.1342147060873663
High,3,0.1569017498880605
Low,-3,0.08273292156881154
Low,-2,0.10694532924901802
Low,-1,0.21245344804072655
Low,0,0.27481047205372644
Low,1,0.1578261357899083
Low,2,0.11293141917059407
Low,3,0.0838867891388102
