month,anomaly_rate,date,oi_total,cot_net_share_sp500,cot_net_z_sp500,cot_sp500_z_l-2,cot_sp500_z_l-1,cot_sp500_z_l0,cot_sp500_z_l1,cot_sp500_z_l2,surge
2015-02-01,0.8268072289156626,2015-02-24,4460620.0,0.15853222197811068,0.4859423750007805,,,0.4859423750007805,-0.4947896655359985,0.15089700425103875,1
2015-03-01,0.5731523378582202,2015-03-31,4050076.0,0.12338731421336291,-0.4947896655359985,,0.4859423750007805,-0.4947896655359985,0.15089700425103875,-0.29632113989117426,1
2015-04-01,0.46444780635400906,2015-04-28,4229089.0,0.1440045362015318,0.15089700425103875,0.4859423750007805,-0.4947896655359985,0.15089700425103875,-0.29632113989117426,-1.5507130967134284,1
2015-05-01,0.2515151515151515,2015-05-26,4323335.0,0.1281751240651025,-0.29632113989117426,-0.4947896655359985,0.15089700425103875,-0.29632113989117426,-1.5507130967134284,-0.8511342438816705,0
2015-06-01,0.24397590361445784,2015-06-30,4166363.0,0.07987638139067575,-1.5507130967134284,0.15089700425103875,-0.29632113989117426,-1.5507130967134284,-0.8511342438816705,-2.622236116757131,0
2015-07-01,0.26998491704374056,2015-07-28,4186569.0,0.10066596298783084,-0.8511342438816705,-0.29632113989117426,-1.5507130967134284,-0.8511342438816705,-2.622236116757131,-2.523138459800694,0
2015-08-01,0.6858877086494689,2015-08-25,5831692.0,0.016618161590152565,-2.622236116757131,-1.5507130967134284,-0.8511342438816705,-2.622236116757131,-2.523138459800694,-1.1227303912896769,1
2015-09-01,0.37632776934749623,2015-09-29,4833203.0,-0.06435876995027935,-2.523138459800694,-0.8511342438816705,-2.622236116757131,-2.523138459800694,-1.1227303912896769,-0.9079890017786675,1
2015-10-01,0.2950075642965204,2015-10-27,4484936.0,0.01375002898592087,-1.1227303912896769,-2.622236116757131,-2.523138459800694,-1.1227303912896769,-0.9079890017786675,-0.4403340751554244,0
2015-11-01,0.15454545454545454,2015-11-24,4455829.0,0.01853841339063954,-0.9079890017786675,-2.523138459800694,-1.1227303912896769,-0.9079890017786675,-0.4403340751554244,-1.4319530594280125,0
2015-12-01,0.1062215477996965,2015-12-29,3823065.0,0.04483575351190733,-0.4403340751554244,-1.1227303912896769,-0.9079890017786675,-0.4403340751554244,-1.4319530594280125,-1.0227904233779477,0
2016-01-01,0.3759512937595129,2016-01-26,4579599.0,-0.04404708796556205,-1.4319530594280125,-0.9079890017786675,-0.4403340751554244,-1.4319530594280125,-1.0227904233779477,-0.8347562816187332,1
2016-02-01,0.3622526636225266,2016-02-23,4752978.0,-0.027770589302117534,-1.0227904233779477,-0.4403340751554244,-1.4319530594280125,-1.0227904233779477,-0.8347562816187332,0.40230366159318853,1
2016-03-01,0.17933130699088146,2016-03-29,4363040.0,-0.027583748945689244,-0.8347562816187332,-1.4319530594280125,-1.0227904233779477,-0.8347562816187332,0.40230366159318853,0.2356307475402158,0
2016-04-01,0.06838905775075987,2016-04-26,4607873.0,0.04689886201290704,0.40230366159318853,-1.0227904233779477,-0.8347562816187332,0.40230366159318853,0.2356307475402158,-1.238551078065029,0
2016-05-01,0.0779816513761468,2016-05-31,4717927.0,0.023477896118358762,0.2356307475402158,-0.8347562816187332,0.40230366159318853,0.2356307475402158,-1.238551078065029,0.7491570649734584,0
2016-06-01,0.09846153846153846,2016-06-28,4652864.0,-0.054465808585851636,-1.238551078065029,0.40230366159318853,0.2356307475402158,-1.238551078065029,0.7491570649734584,1.78799837120703,0
2016-07-01,0.06511627906976744,2016-07-26,4966223.0,0.025858484405553276,0.7491570649734584,0.2356307475402158,-1.238551078065029,0.7491570649734584,1.78799837120703,0.2942368185648402,0
2016-08-01,0.05572755417956656,2016-08-30,4903734.0,0.061613456194809915,1.78799837120703,-1.238551078065029,0.7491570649734584,1.78799837120703,0.2942368185648402,-0.3932572455293482,0
2016-09-01,0.03715170278637771,2016-09-27,4454283.0,0.012744812128012522,0.2942368185648402,0.7491570649734584,1.78799837120703,0.2942368185648402,-0.3932572455293482,0.221483859658335,0
2016-10-01,0.07596899224806201,2016-10-25,4567261.0,-0.008498310037460089,-0.3932572455293482,1.78799837120703,0.2942368185648402,-0.3932572455293482,0.221483859658335,1.5943519528009622,0
2016-11-01,0.2391304347826087,2016-11-29,4953576.0,0.010415102140352748,0.221483859658335,0.2942368185648402,-0.3932572455293482,0.221483859658335,1.5943519528009622,2.096181898849476,0
2016-12-01,0.09442724458204334,2016-12-27,4418704.0,0.05313571581169501,1.5943519528009622,-0.3932572455293482,0.221483859658335,1.5943519528009622,2.096181898849476,2.1871233857683943,0
2017-01-01,0.035493827160493825,2017-01-31,4438504.0,0.08567301054589564,2.096181898849476,0.221483859658335,1.5943519528009622,2.096181898849476,2.1871233857683943,1.8553916981076892,0
2017-02-01,0.05069124423963134,2017-02-28,4967030.0,0.10517693672073654,2.1871233857683943,1.5943519528009622,2.096181898849476,2.1871233857683943,1.8553916981076892,2.135599482637393,0
2017-03-01,0.039938556067588324,2017-03-28,4436061.0,0.10780307123819984,1.8553916981076892,2.096181898849476,2.1871233857683943,1.8553916981076892,2.135599482637393,1.2234563790247013,0
2017-04-01,0.03538461538461538,2017-04-25,4506981.0,0.1399338049128674,2.135599482637393,2.1871233857683943,1.8553916981076892,2.135599482637393,1.2234563790247013,1.3065822660003745,0
2017-05-01,0.04608294930875576,2017-05-30,4669169.0,0.11215678849919547,1.2234563790247013,1.8553916981076892,2.135599482637393,1.2234563790247013,1.3065822660003745,1.7250299744173379,0
