year,n_obs,n_any_rule_anom,pct_any_rule_anom
2015,167064,35471,21.231982952640905
2016,164649,31007,18.83218240013605
2017,163150,20678,12.67422617223414
2018,161304,41014,25.426523830779153
2019,159804,25503,15.958924682736352
2020,158195,50862,32.15145864281425
2021,156232,11898,7.615597316810898
2022,153393,37677,24.562398544914043
2023,151246,16076,10.629041429194821
2024,152380,24459,16.051319070744192
